Size,Length_STD,Length_ADV,CR_STD,CR_ADV
344, 4323202, 3325540, 1.7737908152337087, 2.305928059803821
345, 4321720, 3324400, 1.7743990818470423, 2.3067188064011552
346, 4320342, 3323340, 1.7749650374900876, 2.307454548737114
347, 4318678, 3322060, 1.7756489370126691, 2.30834361811647
348, 4316910, 3320700, 1.7763761579463089, 2.3092890053302013
349, 4315480, 3319600, 1.7769647872310843, 2.31005422340041
350, 4313790, 3318300, 1.77766094316135, 2.310959226109755
351, 4310878, 3316060, 1.7788617539164875, 2.3125202800914337
352, 4309162, 3314740, 1.779570134518034, 2.3134411748734443
353, 4306380, 3312600, 1.7807197692725676, 2.314935700054338
354, 4304690, 3311300, 1.7814188710453018, 2.3158445323588923
355, 4302636, 3309720, 1.782269287943484, 2.316950074326529
356, 4300764, 3308280, 1.7830450589709177, 2.317958576662193
357, 4299230, 3307100, 1.783681263854225, 2.3187856430104925
358, 4297358, 3305660, 1.7844582648222467, 2.3197957442689208
359, 4295668, 3304360, 1.7851603056847039, 2.320708397390115
360, 4293848, 3302960, 1.7859169677175344, 2.3216920580327947
361, 4292080, 3301600, 1.7866526253005537, 2.3226484128907194
362, 4289246, 3299420, 1.7878331063315092, 2.3241830382309616
363, 4287816, 3298320, 1.7884293542446783, 2.324958160518082
364, 4286386, 3297220, 1.7890259999916014, 2.3257337999890817
365, 4284722, 3295940, 1.7897207800179336, 2.3266370140233135
366, 4283110, 3294700, 1.7903943629745676, 2.3275126718669377
367, 4281290, 3293300, 1.7911554694963434, 2.3285021103452466
368, 4279444, 3291880, 1.7919281102872242, 2.3295065433733915
369, 4277780, 3290600, 1.7926251466882355, 2.3304126906947062
370, 4276012, 3289240, 1.7933663422834174, 2.3313762449684425
371, 4274478, 3288060, 1.7940099352482337, 2.332212915822704
372, 4272918, 3286860, 1.7946649104897403, 2.3330643836366622
373, 4271592, 3285840, 1.7952220155857581, 2.3337886202614855
374, 4269980, 3284600, 1.7958997466030286, 2.334669670583937
375, 4268654, 3283580, 1.7964576187247783, 2.3353949043422118
376, 4267276, 3282520, 1.797037735548392, 2.3361490562129097
377, 4265872, 3281440, 1.7976291834354148, 2.3369179384660392
378, 4264052, 3280040, 1.798396454827474, 2.337915391275716
379, 4262466, 3278820, 1.7990656113151402, 2.338785294709682
380, 4261270, 3277900, 1.7995705505635644, 2.3394417157326335
381, 4259398, 3276460, 1.8003614595301964, 2.3404698973892555
382, 4258020, 3275400, 1.8009441007792355, 2.341227331013006
383, 4256330, 3274100, 1.8016591758627738, 2.342156928621606
384, 4254328, 3272560, 1.8025069999304237, 2.343259099909551
385, 4252560, 3271200, 1.8032563914442123, 2.344233308877476
386, 4251026, 3270020, 1.803907103837991, 2.3450792349893885
387, 4249648, 3268960, 1.8044920426350606, 2.345839655425579
388, 4248166, 3267820, 1.8051215512764802, 2.346658016659424
389, 4246736, 3266720, 1.8057293884055896, 2.3474482049272667
390, 4245332, 3265640, 1.8063265723387476, 2.348224544040372
391, 4243772, 3264440, 1.8069905734803848, 2.3490877455245003
392, 4242316, 3263320, 1.8076107484685253, 2.349893973009083
393, 4240808, 3262160, 1.8082535214987332, 2.350729577948353
394, 4239482, 3261140, 1.8088190962952548, 2.3514648251838315
395, 4237896, 3259920, 1.809496032937099, 2.3523448428182285
396, 4236076, 3258520, 1.810273470069942, 2.353355511090925
397, 4234698, 3257460, 1.8108625455699556, 2.3541213092409423
398, 4233242, 3256340, 1.811485381653116, 2.3549309961490508
399, 4231396, 3254920, 1.8122756650523846, 2.3559583645681
400, 4230226, 3254020, 1.812776906009277, 2.35660997781206
401, 4228874, 3252980, 1.8133564632098285, 2.357363402172777
402, 4227288, 3251760, 1.8140368008993, 2.35824784116909
403, 4226222, 3250940, 1.8144943639969695, 2.3588426731960603
404, 4224792, 3249840, 1.815108530786841, 2.3596410900228935
405, 4223544, 3248880, 1.8156448707530926, 2.3603383319790203
406, 4222114, 3247780, 1.816259816764777, 2.36113776179421
407, 4220580, 3246600, 1.8169199493908421, 2.3619959342080947
408, 4218656, 3245120, 1.8177485910204576, 2.363073168326595
409, 4217538, 3244260, 1.8182304462935486, 2.363699580181613
410, 4216290, 3243300, 1.8187686330873825, 2.364399223013597
411, 4214886, 3242220, 1.819374474185067, 2.365186816440587
412, 4213846, 3241420, 1.8198235056525558, 2.3657705573483225
413, 4212650, 3240500, 1.8203401659288097, 2.3664422157074525
414, 4211220, 3239400, 1.8209582971205494, 2.367245786256714
415, 4209582, 3238140, 1.8216668543337557, 2.3681669106338825
416, 4208386, 3237220, 1.8221845619674621, 2.3688399305577006
417, 4207034, 3236180, 1.822770151132603, 2.369601196472384
418, 4205994, 3235380, 1.8232208605147797, 2.3701871186692136
419, 4204642, 3234340, 1.8238071160398437, 2.3709492508517966
420, 4203446, 3233420, 1.8243260410624997, 2.3716238533812497
421, 4202120, 3232400, 1.8249017162765462, 2.37237223115951
422, 4201002, 3231540, 1.825387371869854, 2.37300358343081
423, 4199702, 3230540, 1.825952412814052, 2.3737381366582677
424, 4198246, 3229420, 1.8265856741124746, 2.374561376346217
425, 4196920, 3228400, 1.8271627765122995, 2.375311609465989
426, 4195698, 3227460, 1.827694938958905, 2.3760034206465765
427, 4194346, 3226420, 1.8282840757534071, 2.376769298479429
428, 4192916, 3225320, 1.828907614652905, 2.3775798990487766
429, 4191226, 3224020, 1.8296450728259464, 2.3785385946737305
430, 4189848, 3222960, 1.830246825183157, 2.379320872738104
431, 4188548, 3221960, 1.8308148790463903, 2.3800593427603074
432, 4187352, 3221040, 1.8313378001180698, 2.3807391401534908
433, 4186182, 3220140, 1.8318496424665722, 2.381404535206544
434, 4184778, 3219060, 1.8324642310774908, 2.3822035004007382
435, 4183556, 3218120, 1.8329994865611934, 2.3828993325295516
436, 4182230, 3217100, 1.8335806495577718, 2.3836548444251036
437, 4181060, 3216200, 1.8340937465618767, 2.3843218705304396
438, 4179760, 3215200, 1.8346641912454305, 2.3850634486190594
439, 4178434, 3214180, 1.8352464104973298, 2.385820333646529
440, 4177264, 3213280, 1.835760440326491, 2.3864885724244385
441, 4175652, 3212040, 1.836469131048277, 2.38740987036276
442, 4174846, 3211420, 1.8368236816399934, 2.3878707861319914
